# alpha,err_hub,lambda_hub,a_hub
4.757236139187887147e+01,5.461769751800593653e-02,-3.124981640548247341e+00,9.632905260962622007e-01
4.801342923653449901e+01,5.412045733202708320e-02,-3.165743924278803689e+00,9.633137016104196260e-01
4.845858644816492955e+01,5.362767756644926109e-02,-3.206880583773923821e+00,9.633367151367973058e-01
4.890787094139589897e+01,5.313931987315667627e-02,-3.248395880489614918e+00,9.633597275984329134e-01
4.936132098237914079e+01,5.265534619117762105e-02,-3.290293907451390165e+00,9.633826809364023358e-01
4.981897519205160307e+01,5.217571874566440115e-02,-3.332577369352656582e+00,9.634055930196911977e-01
5.028087254942477813e+01,5.170040004684040014e-02,-3.375249932344372539e+00,9.634283957936328191e-01
5.074705239490465658e+01,5.122935288892072059e-02,-3.418315981419770555e+00,9.634511856082383918e-01
5.121755443364238403e+01,5.076254034900551382e-02,-3.461778518261199089e+00,9.634739315279832184e-01
5.169241873891598260e+01,5.029992578594333352e-02,-3.505640927657613926e+00,9.634964856914471909e-01
5.217168575554346432e+01,4.984147283917317317e-02,-3.549907457618799000e+00,9.635190448836159494e-01
5.265539630332755650e+01,4.938714542753852577e-02,-3.594581817286518266e+00,9.635413964059660330e-01
5.314359158053238730e+01,4.893690774808145960e-02,-3.639668357791630893e+00,9.635638402619361997e-01
5.363631316739240162e+01,4.849072427481049274e-02,-3.685169550554680207e+00,9.635861133679892720e-01
5.413360302965375581e+01,4.804855975745159213e-02,-3.731090961143808116e+00,9.636084130495418121e-01
5.463550352214875971e+01,4.761037922017363755e-02,-3.777434638037513004e+00,9.636304368965882272e-01
5.514205739240296111e+01,4.717614796030078494e-02,-3.824206282457955908e+00,9.636525298605138623e-01
5.565330778427645697e+01,4.674583154699973875e-02,-3.871408609932229794e+00,9.636744353950977837e-01
5.616929824163803886e+01,4.631939581995347943e-02,-3.919046046447774767e+00,9.636962421260719669e-01
5.669007271207433973e+01,4.589680688801900388e-02,-3.967122791516936253e+00,9.637179190396945039e-01
5.721567555063246147e+01,4.547803112786441559e-02,-4.015643792156204483e+00,9.637397516549782717e-01
5.774615152359820058e+01,4.506303518259713314e-02,-4.064611335091161237e+00,9.637613211506339539e-01
5.828154581230840137e+01,4.465178596037300274e-02,-4.114030482672236033e+00,9.637827173076014553e-01
5.882190401699956084e+01,4.424425063299386451e-02,-4.163906283830005606e+00,9.638041693952079658e-01
5.936727216069120061e+01,4.384039663449268431e-02,-4.214241092075375228e+00,9.638254004050667012e-01
5.991769669310618696e+01,4.344019165970580687e-02,-4.265041082022534624e+00,9.638466369205197504e-01
6.047322449462642879e+01,4.304360366283521699e-02,-4.316310742434020575e+00,9.638678857056564020e-01
6.103390288028621313e+01,4.265060085599770012e-02,-4.368051882046385614e+00,9.638887854585378445e-01
6.159977960380162187e+01,4.226115170776867380e-02,-4.420271007473361102e+00,9.639097287612532483e-01
6.217090286163826818e+01,4.187522494171114218e-02,-4.472972208600325850e+00,9.639305553008143956e-01
6.274732129711574657e+01,4.149278953489976551e-02,-4.526159915780906928e+00,9.639513507630685929e-01
6.332908400455114872e+01,4.111381471643604790e-02,-4.579837953803703066e+00,9.639718299852400030e-01
6.391624053343998924e+01,4.073826996595730776e-02,-4.634013011085358791e+00,9.639924711190053230e-01
6.450884089267692900e+01,4.036612501213521220e-02,-4.688687651168954140e+00,9.640129118986322521e-01
6.510693555481454098e+01,3.999734983117209097e-02,-4.743867329776282560e+00,9.640333416353139562e-01
6.571057546036267638e+01,3.963191464528970087e-02,-4.799555294343189615e+00,9.640533692882740091e-01
6.631981202212668336e+01,3.926978992121288314e-02,-4.855757636206950778e+00,9.640734286199206249e-01
6.693469712958656714e+01,3.891094636864900203e-02,-4.912479805531413390e+00,9.640934538088407058e-01
6.755528315331639533e+01,3.855535494263850893e-02,-4.969725611441034197e+00,9.641133761491527121e-01
6.818162294944475832e+01,3.820298682646594557e-02,-5.027500344744131766e+00,9.641331577756739879e-01
6.881376986415662600e+01,3.785381345355576244e-02,-5.085808433881389590e+00,9.641528013725655377e-01
6.945177773823692746e+01,3.750780649025986513e-02,-5.144655811656142497e+00,9.641724927339558882e-01
7.009570091165618066e+01,3.716493783825658426e-02,-5.204046731163313844e+00,9.641920086646601495e-01
7.074559422819875465e+01,3.682517963301079611e-02,-5.263986850539341233e+00,9.642114110693198459e-01
7.140151304013396327e+01,3.648850424223315514e-02,-5.324479529799857502e+00,9.642306621197385130e-01
7.206351321293048784e+01,3.615488426434088076e-02,-5.385532456240031962e+00,9.642499273066196253e-01
7.273165113001454074e+01,3.582429252691277100e-02,-5.447148156450443146e+00,9.642688541296914329e-01
7.340598369757208275e+01,3.549670208515021130e-02,-5.509334463692980854e+00,9.642878137679081751e-01
7.408656834939560554e+01,3.517208622033241028e-02,-5.572095153011993318e+00,9.643067696936680200e-01
7.477346305177584895e+01,3.485041843827585417e-02,-5.635435614261253612e+00,9.643253455830755883e-01
7.546672630843886509e+01,3.453167246779309529e-02,-5.699360988785996618e+00,9.643439320918638646e-01
7.616641716552888397e+01,3.421582225915265063e-02,-5.763878755858828917e+00,9.643625568059125408e-01
7.687259521663727924e+01,3.390284198254023273e-02,-5.828992363580947966e+00,9.643809798329361360e-01
7.758532060787831597e+01,3.359270602652197901e-02,-5.894707579176857060e+00,9.643992223840889277e-01
7.830465404301182275e+01,3.328538899650967942e-02,-5.961030089026803758e+00,9.644173825824339241e-01
7.903065678861344168e+01,3.298086571322822458e-02,-6.027967411891531846e+00,9.644356377777071332e-01
7.976339067929272630e+01,3.267911121118505235e-02,-6.095522936039638573e+00,9.644536123888166612e-01
